"unit","qudtUri","TotalUses","pseudounit","qudtUnit"
"millimeters per hour","http://qudt.org/vocab/unit/MilliM-PER-HR",5,"millimeterperhour","MilliM-PER-HR"
"milliliterspermetersquare",NA,5,"milliliterpermeterquare","MilliL-PER-M-quare"
"milliliterspercubicmeter","http://qudt.org/vocab/unit/MilliL-PER-M3",5,"milliliterpercubicmeter","MilliL-PER-M3"
"milligrams of hydrocarbon per gram of rock",NA,5,"milligramofhydrocarbonpergramofrock","MilliGM-ofhydrocarbon-PER-GM-ofrock"
"milligrampermilliliterperday",NA,5,"milligrampermilliliterperday","MilliGM-PER-MilliL-DAY"
"milligrampermetersquaredperminute",NA,5,"milligrampermeterquaredperminute","MilliGM-PER-M2-MIN"
"milligramperliter","http://qudt.org/vocab/unit/MilliGM-PER-L",5,"milligramperliter","MilliGM-PER-L"
"milligrampergramperhour",NA,5,"milligrampergramperhour","MilliGM-PER-GM-HR"
"milligramperdecimetersquared",NA,5,"milligramperdecimeterquared","MilliGM-PER-DeciM2"
"milliequivalents per 100 grams",NA,5,"milliequivalentsper100gram","milliequivalents-PER-100-GM"
"milliequivalentper100grams",NA,5,"milliequivalentper100gram","milliequivalent-PER-100-GM"
"miligramsperkilogrampermonth",NA,5,"miligramperkilogrampermonth","MilliGM-PER-KiloGM-MO"
"mid-sized seaboss grab",NA,5,"mid-sizedseabossgrab","mid-sizedseabossgrab"
"micromolsradiationm-2s-1",NA,5,"micromolsradiationm-2s-1","MicroMOL-radiationm2s-1"
"micromolespersecond","http://qudt.org/vocab/unit/MicroMOL-PER-SEC",5,"micromolepersecond","MicroMOL-PER-SEC"
"micromolespermolesquaredpersecond",NA,5,"micromolepermolequaredpersecond","MicroMOL-PER-MOL2-SEC"
"micromolepersecond","http://qudt.org/vocab/unit/MicroMOL-PER-SEC",5,"micromolepersecond","MicroMOL-PER-SEC"
"micrometercubedpermilliliter","http://qudt.org/vocab/unit/MicroM3-PER-MilliL",5,"micrometercubedpermilliliter","MicroM3-PER-MilliL"
"microgramspersquarecentimeter",NA,5,"microgrampersquarecentimeter","MicroGM-PER-CentiM2"
"microgramspermetersquaredperhour",NA,5,"microgrampermeterquaredperhour","MicroGM-PER-M2-HR"
"microgramsperkilogramperhour",NA,5,"microgramperkilogramperhour","MicroGM-PER-KiloGM-HR"
"microgramnitrogenpermetersquaredpersecond",NA,5,"microgramnitrogenpermeterquaredpersecond","MicroGM-nitrogen-PER-M2-SEC"
"micro siemens /cm","http://qudt.org/vocab/unit/MicroS-PER-CentiM",5,"microsiemenspercentimeter","MicroS-PER-CentiM"
"micro mhos per centimeter",NA,5,"micromhospercentimeter","micromhos-PER-CentiM"
"metersquaredpernauticalmilesquared",NA,5,"meterquaredpernauticalmilequared","M2-PER-nautical-MI_US2"
"may",NA,5,"may","may"
"march",NA,5,"march","march"
"m3/sec","http://qudt.org/vocab/unit/M3-PER-SEC",5,"metercubedpersecond","M3-PER-SEC"
"line number",NA,5,"linenumber","line-NUM"
"leaf area  in square meter per square meter of ground",NA,5,"leafareainsquaremeterpersquaremeterofground","leafareain-M2-PER-M2-ofground"
"known",NA,5,"known","known"
"kilowattpermetersquare",NA,5,"kilowattpermeterquare","KiloW-PER-M-quare"
"kilopascalssquared",NA,5,"kilopascalsquared","KiloPA2"
"kilojoulepermetersquare",NA,5,"kilojoulepermeterquare","KiloJ-PER-M-quare"
"kilogramspermetersquaredperyear",NA,5,"kilogrampermeterquaredperyear","KiloGM-PER-M2-YR"
"kilogramspermetercubed","http://qudt.org/vocab/unit/KiloGM-PER-M3",5,"kilogrampermetercubed","KiloGM-PER-M3"
"kilogramperhectareperday",NA,5,"kilogramperhectareperday","KiloGM-PER-HA-DAY"
"kg.","http://qudt.org/vocab/unit/KiloGM",5,"kilogram","KiloGM"
"katm",NA,5,"katm","katm"
"juvenile steelhead (rbt) 0",NA,5,"juvenilesteelhead(rbt)0","juvenilesteelhead0"
"june",NA,5,"june","june"
"july",NA,5,"july","july"
"julian day (year 2007)",NA,5,"julianday(year2007)","julian-DAY"
"julian day",NA,5,"julianday","julian-DAY"
"julian day",NA,5,"julianday","julian-DAY"
"joulepercentimetersquared","http://qudt.org/vocab/unit/J-PER-CentiM2",5,"joulepercentimeterquared","J-PER-CentiM2"
"j",NA,5,"j","j"
"individualsecsperday",NA,5,"individualsecsperday","NUM-ecs-PER-DAY"
"individual otters",NA,5,"individualotters","individualotters"
"hhmm",NA,5,"hhmm","hhmm"
"hand sample",NA,5,"handsample","handsample"
"gs",NA,5,"gs","gs"
"gravity corer",NA,5,"gravitycorer","gravitycorer"
"gravity core",NA,5,"gravitycore","gravitycore"
"gramspermeterssquared","http://qudt.org/vocab/unit/GM-PER-M2",5,"grampermetersquared","GM-PER-M2"
"gramspermetercubed","http://qudt.org/vocab/unit/GM-PER-M3",5,"grampermetercubed","GM-PER-M3"
"gramspermetercube",NA,5,"grampermetercube","GM-PER-M-cube"
"gramsoxygenpermetersquaredperday",NA,5,"gramoxygenpermeterquaredperday","GM-oxygen-PER-M2-DAY"
"grams per liter","http://qudt.org/vocab/unit/GM-PER-L",5,"gramperliter","GM-PER-L"
"gramperyearpermetersquared",NA,5,"gramperyearpermeterquared","GM-PER-YR-M2"
"grampersquaremeterperday","http://qudt.org/vocab/unit/GM-PER-M2-DAY",5,"grampersquaremeterperday","GM-PER-M2-DAY"
"grampernumber",NA,5,"grampernumber","GM-PER-NUM"
"grampernumber",NA,5,"grampernumber","GM-PER-NUM"
"grampercubiccentimeter","http://qudt.org/vocab/unit/GM-PER-CentiM3",5,"grampercubiccentimeter","GM-PER-CentiM3"
"grab sampler",NA,5,"grabsampler","grabsampler"
"grab",NA,5,"grab","grab"
"gco2-cm-2half-hour-3",NA,5,"gco2-cm-2half-hour-3","gco2-cm2half-HR3"
"gco2-cm-2half-hour-2",NA,5,"gco2-cm-2half-hour-2","gco2-cm2half-HR2"
"gbiomassm-2",NA,5,"gbiomassm-2","gbiomassm2"
"formazin nephelometric unit (fnu)",NA,5,"formazinnephelometricunit(fnu)","formazinnephelometricunit"
"footcubed","http://qudt.org/vocab/unit/FT3",5,"footcubed","FT3"
"fldep",NA,5,"fldep","fldep"
"first pass",NA,5,"firstpass","firstpass"
"february",NA,5,"february","february"
"dredge",NA,5,"dredge","dredge"
"doy",NA,5,"doy","doy"
"degrees longitude",NA,5,"degreelongitude","DEG-longitude"
"degrees c","http://qudt.org/vocab/unit/DEG_C",5,"degreec","DEG_C"
"degrees c","http://qudt.org/vocab/unit/DEG_C",5,"degreec","DEG_C"
"decimal_time",NA,5,"decimaltime","decimaltime"
"december",NA,5,"december","december"
"days per year",NA,5,"dayperyear","DAY-PER-YR"
"cubicmicrometerspergram",NA,5,"cubicmicrometerpergram","M3-icroM-PER-GM"
"cubicmeterpercubicmeter","http://qudt.org/vocab/unit/M3-PER-M3",5,"cubicmeterpercubicmeter","M3-PER-M3"
"cubic meters per second","http://qudt.org/vocab/unit/M3-PER-SEC",5,"cubicmeterpersecond","M3-PER-SEC"
"cperyear",NA,5,"cperyear","c-PER-YR"
"cperyear",NA,5,"cperyear","c-PER-YR"
"control",NA,5,"control","control"
"concentration of charge (on dissolved ions). a single multiplier to si is not possible",NA,5,"concentrationofcharge(ondissolvedions).asinglemultipliertosiisnotpossible","concentrationofcharge-NA-asinglemultipliertosiisnotpossible"
"cmbeneathpeatsurface",NA,5,"cmbeneathpeatsurface","cmbeneathpeatsurface"
"cm2/g",NA,5,"centimetersquaredpergram","CentiM2-PER-GM"
"chains","http://qudt.org/vocab/unit/CH",5,"chains","CH"
"cerc map",NA,5,"cercmap","cercmap"
"centimeters per day",NA,5,"centimeterperday","CentiM-PER-DAY"
"centimeters","http://qudt.org/vocab/unit/CentiM",5,"centimeter","CentiM"
"carya",NA,5,"carya","carya"
"august",NA,5,"august","august"
"april",NA,5,"april","april"
"animal headcount",NA,5,"animalheadcount","animalheadcount"
"ak",NA,5,"ak","ak"
"acres","http://qudt.org/vocab/unit/AC",5,"acre","AC"
"a common unit of temperature",NA,5,"acommonunitoftemperature","acommonunitoftem-PER-ature"
"300m",NA,5,"300m","300m"
"2014",NA,5,"2014","2014"
"2007",NA,5,"2007","2007"
"20",NA,5,"20","20"
"18",NA,5,"18","18"
"1000 cm^3",NA,5,"1000percentimentercubed","1000-PER-CM3"
"1/cm",NA,5,"1percentimeter","1-PER-CentiM"
"[data source]; [region source file]",NA,5,"[datasource];[regionsourcefile]","[datasource];[regionsourcefile]"
".000000001 meters",NA,5,".000000001meter","NA-000000001-M"
"% afdw",NA,5,"percentafdw","PERCENT-afdw"
"# / 5-minute transect",NA,5,"#per5-minutetransect","NUM-PER-5-MIN-transect"
"-9999",NA,5,"-9999","9999"
"yes or no.",NA,4,"yesorno.","yesorno"
"year(yyyy)","http://qudt.org/vocab/unit/YR",4,"year(yyyy)","YR"
"wm",NA,4,"wm","wm"
"wet meadow",NA,4,"wetmeadow","wetmeadow"
"waypoint number",NA,4,"waypointnumber","waypoint-NUM"
"wattspersquaremeter","http://qudt.org/vocab/unit/W-PER-M2",4,"wattspersquaremeter","W-PER-M2"
"wattsperm-2",NA,4,"wattsperm-2","W-PER-m2"
"watts per square meter, also, 1 kilogram per second cubed (ie, a flux)",NA,4,"wattspersquaremeter,also,1kilogrampersecondcubed(ie,aflux)","W-PER-M2-,also,1-KiloGM-SEC3"
"waterfractionbyvolume",NA,4,"waterfractionbyvolume","water-FRACTION-byvolume"
"wa",NA,4,"wa","wa"
"volumetric content",NA,4,"volumetriccontent","volumetriccontent"
"volts","http://qudt.org/vocab/unit/V",4,"volt","V"
"vibracore",NA,4,"vibracore","vibracore"
"vermicuilte_ore_composition_table",NA,4,"vermicuilteorecompositiontable","vermicuilteorecompositiontable"
"variable. measurement units for reported concentrations or activities for the constituents are provided in table01_constituents.xlsx.",NA,4,"variable.measurementunitsforreportedconcentrationsoractivitiesfortheconstituentsareprovidedintable01constituents.xlsx.","variable-NA-measurementunitsforreportedconcentrationsoractivitiesfortheconstituentsareprovidedintable01constituents-NA-xlsx"
"ut",NA,4,"ut","ut"
"usgs nwis",NA,4,"usgsnwis","usgsnwis"
"upper",NA,4,"upper","up-PER"
"unknown",NA,4,"unknown","unknown"
"unique id",NA,4,"uniqueid","uniqueid"
"unexpanded",NA,4,"unexpanded","unexpanded"
"umolco2m-2sec-1",NA,4,"umolco2m-2sec-1","umolco2m2sec-1"
"um n",NA,4,"umn","umn"
"ugnutrient/gramresin",NA,4,"ugnutrientpergramresin","ugnutrient-PER-GM-resin"
"ugn/gdrysoil/day",NA,4,"ugnpergdrysoilperday","ugn-PER-gdrysoil-DAY"
"ugco2-c/gsoildwt/day",NA,4,"ugco2-cpergsoildwtperday","ugco2-c-PER-gsoildwt-DAY"
"ug-n/g dry soil",NA,4,"ug-npergramdrysoil","ug-n-PER-GM-drysoil"
"trigger core",NA,4,"triggercore","triggercore"
"time spent in safety area",NA,4,"timespentinsafetyarea","timespentinsafetyarea"
"time spent in fear area",NA,4,"timespentinfeararea","timespentinfeararea"
"time in military hours and minutes",NA,4,"timeinmilitaryhourandminute","timeinmilitary-HR-and-MIN"
"sw",NA,4,"sw","sw"
"submersible sample",NA,4,"submersiblesample","submersiblesample"
"stipes",NA,4,"stipes","stipes"
"stems/ha","http://qudt.org/vocab/unit/NUM-PER-HA",4,"stemsperhectare","NUM-PER-HA"
"st",NA,4,"st","st"
"sr",NA,4,"sr","sr"
"squarerootkilogramperhectare",NA,4,"squarerootkilogramperhectare","squareroot-KiloGM-PER-HA"
"squaremile",NA,4,"squaremile","M2-I_US"
"species","http://qudt.org/vocab/unit/NUM",4,"species","NUM"
"sorting and reworking",NA,4,"sortingandreworking","sortingandreworking"
"solar radiation",NA,4,"solarradiation","solarradiation"
"smith-macintyre w/o camera",NA,4,"smith-macintyrewperocamera","smith-macintyrew-PER-ocamera"
"siemenspercentimeter","http://qudt.org/vocab/unit/S-PER-CentiM",4,"siemenspercentimeter","S-PER-CentiM"
"siemenspercentimeter","http://qudt.org/vocab/unit/S-PER-CentiM",4,"siemenspercentimeter","S-PER-CentiM"
"shot points",NA,4,"shotpoints","shotpoints"
"shipwreck",NA,4,"shipwreck","shipwreck"
"shipek grab",NA,4,"shipekgrab","shipekgrab"
"sediment trap",NA,4,"sedimenttrap","sedimenttrap"
"sc",NA,4,"sc","sc"
"sandy silt",NA,4,"sandysilt","sandysilt"
"rotations per minute",NA,4,"rotationsperminute","rotations-PER-MIN"
"reflection point",NA,4,"reflectionpoint","reflectionpoint"
"recruits",NA,4,"recruits","recruits"
"reciprocalmeter","http://qudt.org/vocab/unit/PER-M",4,"reciprocalmeter","PER-M"
"ratio of two quantities as parts per thousand


                        (1:1000)",NA,4,"ratiooftwoquantitiesaspartperthousand


(1:1000)","ratiooftwoquantitiesas-PPTH-"
"ramanunit",NA,4,"ramanunit","ramanunit"
"qsu",NA,4,"qsu","qsu"
"proportion of time",NA,4,"proportionoftime","FRACTION-oftime"
"pressure in bars",NA,4,"pressureinbars","pressurein-BAR"
"ppm/sec",NA,4,"partpermillionpersecond","PPM-PER-SEC"
"poportionbasalarea",NA,4,"poportionbasalarea","poportionbasalarea"
"pixels in an image or sensor output",NA,4,"pixelsinanimageorsensoroutput","pixelsinanimageorsensoroutput"
"pixel",NA,4,"pixel","pixel"
"piston core",NA,4,"pistoncore","pis-TON_US-core"
"pings/m^3/30 min",NA,4,"pingspermetercubedper30minute","pings-PER-M3-PER30-MIN"
"persons per square km",NA,4,"personspersquarekilometer","PER-sons-KiloM2"
"persons per square kilometer",NA,4,"personspersquarekilometer","PER-sons-KiloM2"
"perminute","http://qudt.org/vocab/unit/PER-MIN",4,"perminute","PER-MIN"
"percentpermetersquared",NA,4,"percentpermeterquared","PERCENT-PER-M2"
"percentpermetersquared",NA,4,"percentpermeterquared","PERCENT-PER-M2"
"percentage of total sample weight",NA,4,"percentoftotalsampleweight","PERCENT-oftotalsampleweight"
"percent, one part per hundred parts",NA,4,"percent,onepartperhundredpart","PERCENT-,onepart-PER-hundredpart"
"partspertrillion",NA,4,"partpertrillion","part-PER-trillion"
"parts per thousand","http://qudt.org/vocab/unit/PPTH",4,"partperthousand","PPTH"
"parts per million by volume",NA,4,"partpermillionbyvolume","PPM-byvolume"
"p-c",NA,4,"p-c","p-c"
"other",NA,4,"other","other"
"off txs",NA,4,"offtxs","offtxs"
"o",NA,4,"o","o"
"nw",NA,4,"nw","nw"
"numberpersquarecentimeterperhour",NA,4,"numberpersquarecentimeterperhour","NUM-PER-CentiM2-HR"
"numberperpool",NA,4,"numberperpool","NUM-PER-pool"
"numberpernumber",NA,4,"numberpernumber","NUM-PER-NUM"
"numberperliter","http://qudt.org/vocab/unit/NUM-PER-L",4,"numberperliter","NUM-PER-L"
"number/milliliter",NA,4,"numberpermilliliter","NUM-PER-MilliL"
"nounits","http://qudt.org/vocab/unit/UNITLESS",4,"nounits","UNITLESS"
"notes",NA,4,"notes","notes"
"ne",NA,4,"ne","ne"
"ndvi",NA,4,"ndvi","ndvi"
"nanoteslas",NA,4,"nanoteslas","nanoteslas"
"nanomolespermetersquaredperday",NA,4,"nanomolepermeterquaredperday","NanoMOL-e-PER-M2-DAY"
"nanomolepermilliliter",NA,4,"nanomolepermilliliter","NanoMOL-e-PER-MilliL"
"nanomoleperliterperday",NA,4,"nanomoleperliterperday","NanoMOL-e-PER-L-DAY"
"nanomolepergramperday",NA,4,"nanomolepergramperday","NanoMOL-e-PER-GM-DAY"
"nanomole",NA,4,"nanomole","NanoMOL-e"
"nanogramspergramperday",NA,4,"nanogrampergramperday","NanoGM-PER-GM-DAY"
"nanogramspergramperday",NA,4,"nanogrampergramperday","NanoGM-PER-GM-DAY"
"nanograms per liter","http://qudt.org/vocab/unit/NanoGM-PER-L",4,"nanogramperliter","NanoGM-PER-L"
"nanogrampergram",NA,4,"nanogrampergram","NanoGM-PER-GM"
"nanogram per gram",NA,4,"nanogrampergram","NanoGM-PER-GM"
"multiple",NA,4,"multiple","multiple"
"mud",NA,4,"mud","mud"
"ms","http://qudt.org/vocab/unit/MilliSEC",4,"ms","MilliSEC"
"molespermetersquaredpersecond","http://qudt.org/vocab/unit/MOL-PER-M2-SEC",4,"molepermeterquaredpersecond","MOL-PER-M2-SEC"
"molepercubicmeter","http://qudt.org/vocab/unit/MOL-PER-M3",4,"molepercubicmeter","MOL-PER-M3"
"mmhg",NA,4,"mmhg","mmhg"
"mm/yr","http://qudt.org/vocab/unit/MilliM-PER-YR",4,"millimeterperyear","MilliM-PER-YR"
"mm/dd/yy",NA,4,"millimeterperddperyy","MilliM-PER-dd-yy"
"minusloghydrogenion",NA,4,"minusloghydrogenion","minusloghydrogenion"
"millisiemenspercentimeter","http://qudt.org/vocab/unit/MilliS-PER-CentiM",4,"millisiemenspercentimeter","MilliS-PER-CentiM"
"millisiemens","http://qudt.org/vocab/unit/MilliS",4,"millisiemens","MilliS"
"millions of pixels in an image or sensor output",NA,4,"millionsofpixelsinanimageorsensoroutput","millionsofpixelsinanimageorsensoroutput"
"million gallons",NA,4,"milliongallon","million-GAL_US"
"millimolspermetercubedperday",NA,4,"millimolspermetercubedperday","milli-MOL-PER-M3-DAY"
"millimolespergram","http://qudt.org/vocab/unit/MilliMOL-PER-GM",4,"millimolepergram","MilliMOL-PER-GM"
"millimoles oxygen per meter squared per day",NA,4,"millimoleoxygenpermetersquaredperday","MilliMOL-oxygen-PER-M2-DAY"
"millimolepersecond",NA,4,"millimolepersecond","MilliMOL-PER-SEC"
"millimeters multiplied by 100",NA,4,"millimetermultipliedby100","MilliM-multipliedby100"
"millimeters (mm)","http://qudt.org/vocab/unit/MilliM",4,"millimeter(mm)","MilliM"
"millimeterperhourperday",NA,4,"millimeterperhourperday","MilliM-PER-HR-DAY"
"millimeter per second","http://qudt.org/vocab/unit/MilliM-PER-SEC",4,"millimeterpersecond","MilliM-PER-SEC"
"millim",NA,4,"millim","millim"
"milliliterspergram",NA,4,"milliliterpergram","MilliL-PER-GM"
"milliliterspergram",NA,4,"milliliterpergram","MilliL-PER-GM"
"milligramspersquarecentimeter","http://qudt.org/vocab/unit/MilliGM-PER-CentiM2",4,"milligrampersquarecentimeter","MilliGM-PER-CentiM2"
"milligramspershortshoot",NA,4,"milligrampershortshoot","MilliGM-PER-short-NUM"
"milligramspermetersquare",NA,4,"milligrampermeterquare","MilliGM-PER-M-quare"
"milligramsperhectare","http://qudt.org/vocab/unit/MilliGM-PER-HA",4,"milligramperhectare","MilliGM-PER-HA"
"milligramspercubicdecimeter",NA,4,"milligrampercubicdecimeter","MilliGM-PER-cubic-DeciM"
"milligramscarbonperliter",NA,4,"milligramcarbonperliter","MilliGM-_Carbon-PER-L"
"milligrams per square meter","http://qudt.org/vocab/unit/MilliGM-PER-M2",4,"milligrampersquaremeter","MilliGM-PER-M2"
"milligrams per kilogram per hour",NA,4,"milligramperkilogramperhour","MilliGM-PER-KiloGM-HR"
"milligrampermetersquaredperhalfday",NA,4,"milligrampermeterquaredperhalfday","MilliGM-PER-M2-half-DAY"
"milligrampermetersquaredperhalfday",NA,4,"milligrampermeterquaredperhalfday","MilliGM-PER-M2-half-DAY"
"milligrampermetercubedperhour","http://qudt.org/vocab/unit/MilliGM-PER-M3-HR",4,"milligrampermetercubedperhour","MilliGM-PER-M3-HR"
"milligramperliterperday",NA,4,"milligramperliterperday","MilliGM-PER-L-DAY"
"milligrampergramdrymass",NA,4,"milligrampergramdrymass","MilliGM-PER-GM-drymass"
"milligramperdaypergram",NA,4,"milligramperdaypergram","MilliGM-PER-DAY-GM"
"milligramperdaypergram",NA,4,"milligramperdaypergram","MilliGM-PER-DAY-GM"
"milligrampercentimetersquared","http://qudt.org/vocab/unit/MilliGM-PER-CentiM2",4,"milligrampercentimeterquared","MilliGM-PER-CentiM2"
"milligrampercentimetercubed",NA,4,"milligrampercentimetercubed","MilliGM-PER-CentiM3"
"milliequivalentsperliter",NA,4,"milliequivalentsperliter","milliequivalents-PER-L"
"milliequivalentsperliter",NA,4,"milliequivalentsperliter","milliequivalents-PER-L"
"middle",NA,4,"middle","middle"
"microsiemenspercentimeters","http://qudt.org/vocab/unit/MicroS-PER-CentiM",4,"microsiemenspercentimeter","MicroS-PER-CentiM"
"microsiemenspercentimeters","http://qudt.org/vocab/unit/MicroS-PER-CentiM",4,"microsiemenspercentimeter","MicroS-PER-CentiM"
"microsiemens per centimeter at 25 degrees celsius (Ã¢Âµs/cm at 25 Ã¢Â°c)",NA,4,"microsiemenspercentimeterat25degreecelsius(Ã¢Âµspercentimeterat25Ã¢Â°c)","MicroS-PER-CentiM-at25-DEG_C"
"microseimens per centimeter","http://qudt.org/vocab/unit/MicroS-PER-CentiM",4,"microseimenpercentimeter","MicroS-PER-CentiM"
"micromolperliterperhour",NA,4,"micromolperliterperhour","micromol-PER-L-HR"
"micromolespersecondpermetersquared",NA,4,"micromolepersecondpermeterquared","MicroMOL-PER-SEC-M2"
"micromolesperliterperhour","http://qudt.org/vocab/unit/MicroMOL-PER-L-HR",4,"micromoleperliterperhour","MicroMOL-PER-L-HR"
"micromoles per liter","http://qudt.org/vocab/unit/MicroMOL-PER-L",4,"micromoleperliter","MicroMOL-PER-L"
"micromolepermicromole",NA,4,"micromolepermicromole","MicroMOL-PER-MicroMOL"
"micromolepermetersquaredperminute",NA,4,"micromolepermeterquaredperminute","MicroMOL-PER-M2-MIN"
"micromoleperhourpergram",NA,4,"micromoleperhourpergram","MicroMOL-PER-HR-GM"
"micromolepergrampersecond","http://qudt.org/vocab/unit/MicroMOL-PER-GM-SEC",4,"micromolepergrampersecond","MicroMOL-PER-GM-SEC"
"micromol co2/m2sec",NA,4,"micromolco2perm2sec","micromolco2-PER-m2sec"
"microgramspersquaremeterperday","http://qudt.org/vocab/unit/MicroGM-PER-M2-DAY",4,"microgrampersquaremeterperday","MicroGM-PER-M2-DAY"
"microgramspermilligram",NA,4,"microgrampermilligram","MicroGM-PER-MilliGM"
"microgramsperlitter",NA,4,"microgramperlitter","MicroGM-PER-litter"
"micrograms/cm2",NA,4,"microgrampercentimetersquared","MicroGM-PER-CentiM2"
"micrograms per liter, < indicates value was less than the laboratory reporting level",NA,4,"microgramperliter,<indicatesvaluewaslessthanthelaboratoryreportinglevel","MicroGM-PER-L-,<indicatesvaluewaslessthanthelaboratoryreportinglevel"
"mgch4/m2/d",NA,4,"mgch4permetersquaredperd","mgch4-PER-M2-d"
"mg_vermiculite_compositional_table",NA,4,"mgvermiculitecompositionaltable","mgvermiculitecompositionaltable"
"mg/dl.",NA,4,"mgperdl.","MilliGM-PER-dl"
"mg/cm2/hr",NA,4,"mgpercentimetersquaredperhour","MilliGM-PER-CentiM2-HR"
"mg p/l",NA,4,"mgpperliter","mgp-PER-L"
"mg hc/g rock",NA,4,"mghcpergramrock","mghc-PER-GM-rock"
"meters/year","http://qudt.org/vocab/unit/M-PER-YR",4,"meterperyear","M-PER-YR"
"meters squared","http://qudt.org/vocab/unit/M2",4,"metersquared","M2"
"meters above mean sea level (m amsl)",NA,4,"meterabovemeansealevel(mamsl)","M-abovemeansealevel"
"meterpergram",NA,4,"meterpergram","M-PER-GM"
"meterperday",NA,4,"meterperday","M-PER-DAY"
"metercubedpergram",NA,4,"metercubedpergram","M3-PER-GM"
"meq/100g",NA,4,"meqper100g","meq-PER-100g"
"megapixel",NA,4,"megapixel","megapixel"
"megajoulepermetersquaredperyear",NA,4,"megajoulepermeterquaredperyear","MegaJ-PER-M2-YR"
"megagramperhectare",NA,4,"megagramperhectare","MegaGM-PER-HA"
"measurement of the relative amount of fluorescence excitation detected in response to particular wavelength of light",NA,4,"measurementoftherelativeamountoffluorescenceexcitationdetectedinresponsetoparticularwavelengthoflight","measurementoftherelativeamountoffluorescenceexcitationdetectedinresponsetoparticularwavelengthoflight"
"mbars","http://qudt.org/vocab/unit/MilliBAR",4,"mbars","MilliBAR"
"mass of a substance per mass of another",NA,4,"massofasubstancepermassofanother","massofasubstance-PER-massofanother"
"marsh",NA,4,"marsh","marsh"
"m/v",NA,4,"mpervolt","m-PER-V"
"m/day",NA,4,"mperday","m-PER-DAY"
"lumenpermetersquare",NA,4,"lumenpermeterquare","lumen-PER-M-quare"
"lower",NA,4,"lower","lower"
"log of kilograms",NA,4,"logofkilogram","logof-KiloGM"
"literspersquaremeter",NA,4,"literpersquaremeter","L-PER-M2"
"lacl",NA,4,"lacl","lacl"
"la",NA,4,"la","la"
"kws-5",NA,4,"kws-5","kws-5"
"kws-1",NA,4,"kws-1","kws-1"
"kod",NA,4,"kod","kod"
"kilopascals","http://qudt.org/vocab/unit/KiloPA",4,"kilopascal","KiloPA"
"kilometers","http://qudt.org/vocab/unit/KiloM",4,"kilometer","KiloM"
"kilojoule","http://qudt.org/vocab/unit/KiloJ",4,"kilojoule","KiloJ"
"kilogramperpixel",NA,4,"kilogramperpixel","KiloGM-PER-pixel"
"kilogramperkilometersquared","http://qudt.org/vocab/unit/KiloGM-PER-KiloM2",4,"kilogramperkilometerquared","KiloGM-PER-KiloM2"
"kilogram per cubic meter","http://qudt.org/vocab/unit/KiloGM-PER-M3",4,"kilogrampercubicmeter","KiloGM-PER-M3"
"kgbiomass/ha/year",NA,4,"kgbiomassperhectareperyear","kgbiomass-PER-HA-YR"
"k","http://qudt.org/vocab/unit/K",4,"k","K"
"k","http://qudt.org/vocab/unit/K",4,"k","K"
"julian day is the integer number representing the interval of time in days since january 1 of the year of collection.",NA,4,"juliandayistheintegernumberrepresentingtheintervaloftimeindaysincejanuary1oftheyearofcollection.","julian-DAY-istheinteger-NUM-representingtheintervaloftimein-DAY-sincejanuary1ofthe-YR-ofcollection"
"joulespersquaremeter","http://qudt.org/vocab/unit/J-PER-M2",4,"joulepersquaremeter","J-PER-M2"
"irradiance",NA,4,"irradiance","ir-RAD-ce"
"ion exchange rate",NA,4,"ionexchangerate","ionexchangerate"
"interger",NA,4,"interger","interger"
"iku grab",NA,4,"ikugrab","ikugrab"
"hydrostatic core",NA,4,"hydrostaticcore","hydrostaticcore"
"hh",NA,4,"hh","hh"
"hectorpascal","http://qudt.org/vocab/unit/HectoPA",4,"hectorpascal","HectoPA"
"hectares","http://qudt.org/vocab/unit/HA",4,"hectare","HA"
"growing degree days (degree c)",NA,4,"growingdegreeday(degreec)","growing-DEG-DAY"
"green",NA,4,"green","green"
"gravelly sand",NA,4,"gravellysand","gravellysand"
"gramspermilliliter","http://qudt.org/vocab/unit/GM-PER-MilliL",4,"grampermilliliter","GM-PER-MilliL"
"gramspermeterssquared","http://qudt.org/vocab/unit/GM-PER-M2",4,"grampermetersquared","GM-PER-M2"
"grams per meter squared per year (g/m2/year)",NA,4,"grampermetersquaredperyear(gpermetersquaredperyear)","GM-PER-M2-YR"
"grampersqauremeter",NA,4,"grampersqauremeter","GM-PER-sqaure-M"
"gramo2permetersquaredperday",NA,4,"gramo2permeterquaredperday","GM-o2-PER-M2-DAY"
"gram per meter squared","http://qudt.org/vocab/unit/GM-PER-M2",4,"grampermetersquared","GM-PER-M2"
"gcm-3","http://qudt.org/vocab/unit/GM-PER-CentiM3",4,"grampercentimetercubed","GM-PER-CentiM3"
"gallonperminute","http://qudt.org/vocab/unit/GAL_US-PER-MIN",4,"gallonperminute","GAL_US-PER-MIN"
"gaar",NA,4,"gaar","gaar"
"g/core",NA,4,"grampercore","GM-PER-core"
"g/0.25m2",NA,4,"gramper0.25m2","GM-PER-0-NA25m2"
"formazinnephelometricunit",NA,4,"formazinnephelometricunit","formazinnephelometricunit"
"footcubed","http://qudt.org/vocab/unit/FT3",4,"footcubed","FT3"
"fl",NA,4,"fl","fl"
"feetpersecond","http://qudt.org/vocab/unit/FT-PER-SEC",4,"footpersecond","FT-PER-SEC"
