"unit","ediScopeUses","ediPackageUses","ediTotalUses","neonScopeUses","neonPackageUses","neonTotalUses","dataoneTotalUses","orgList","numOrgs","totalScopes","totalPackages","TotalUses"
"gramper_pt25metersquared",1,2,3,0,0,0,1,"EDI DataOne",2,1,2,4
"gramsh2oper100gramsdrysoil",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"gramspercentimetersquaredpersecond",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"hh",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"inchperyear",1,2,3,0,0,0,1,"EDI DataOne",2,1,2,4
"kilopascal",2,2,3,0,0,0,1,"EDI DataOne",2,2,2,4
"metercubedperyear",2,2,3,0,0,0,1,"EDI DataOne",2,2,2,4
"metersquaredpernumber",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"mg/cm2/hr",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"mgc/gafdm/hr",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"mgc/gdrysoil",1,2,3,0,0,0,1,"EDI DataOne",2,1,2,4
"mgc/gsoilc",1,2,3,0,0,0,1,"EDI DataOne",2,1,2,4
"mgc/mgchla/hr",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"micomolespersquaremeterpersecond",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"milliequivalentsperhundredgram",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"milligramsperhectare",2,2,3,0,0,0,1,"EDI DataOne",2,2,2,4
"millimetercubed",2,2,2,0,0,0,2,"EDI DataOne",2,2,2,4
"mv",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"nounits",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"percentimeter",2,2,3,0,0,0,1,"EDI DataOne",2,2,2,4
"percentperday",2,2,3,0,0,0,1,"EDI DataOne",2,2,2,4
"pernanometer",1,2,3,0,0,0,1,"EDI DataOne",2,1,2,4
"platinumcobaltunits",1,2,3,0,0,0,1,"EDI DataOne",2,1,2,4
"sla",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"squarecentimeterspersquaremeterperday",1,2,2,0,0,0,2,"EDI DataOne",2,1,2,4
"wavenumber",2,2,2,0,0,0,2,"EDI DataOne",2,2,2,4
"caloriepergram",1,1,3,0,0,0,1,"EDI DataOne",2,1,1,4
"candela",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"centimetersquaredperyear",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"cubicinch",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"cubickilometer",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"decimeldegrees",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"degreeday15",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"degreesc",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"deld",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"deltapermil",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"dimesionless",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"dimessionless",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"enzymeactivitypergram",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"g/core",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"gramspermetersquaredpermonth",1,1,3,0,0,0,1,"EDI DataOne",2,1,1,4
"hour",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"inchofmercury",1,1,3,0,0,0,1,"EDI DataOne",2,1,1,4
"k",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"kgbiomass/ha/year",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"kilogramperhour",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"l/mgc/m",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"literspersecond",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"m/day",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"mbars",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"meters/year",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"meterspermeter",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"metersperminute",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"mgc/m2/h",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"microgramspersquaremeter per seconds",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"micromolepermetersquaredpersecondperpascal",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"micromolsperliterperhour",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"microseimens per centimeter",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"milesquared",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"milligrampergrampermonth",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"milligramscarbonperliter",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"milligramspercubicmeterperhour",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"milligramspermetersquared",1,1,3,0,0,0,1,"EDI DataOne",2,1,1,4
"milligramspermilliliter",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"millilitersperday",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"millimeterperunit",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"millimetersperhalfhour",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"millimolespermegapascalpermetersqured",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"ml",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"molepermetersquaredpersec",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"molequantapermetersquaredperday",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"molespersuaremeters",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"nmtdr/day",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"no3-n/gsoiln",1,1,3,0,0,0,1,"EDI DataOne",2,1,1,4
"number/milliliter",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"ppm/sec",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"thousandboardfoot",1,1,2,0,0,0,2,"EDI DataOne",2,1,1,4
"ugnh4-n/gsoiln",1,1,3,0,0,0,1,"EDI DataOne",2,1,1,4
"ugno3-n/gsoil",1,1,3,0,0,0,1,"EDI DataOne",2,1,1,4
"ugnutrient/gramresin",1,1,3,0,0,0,1,"EDI DataOne",2,1,1,4
"volts",1,1,1,0,0,0,3,"EDI DataOne",2,1,1,4
"% of init.",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"cm2",2,2,2,0,0,0,1,"EDI DataOne",2,2,2,3
"compassdegrees",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"cubicmetersperday",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"decimalhour",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"fish",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"fnu",2,2,2,0,0,0,1,"EDI DataOne",2,2,2,3
"gc(m^-2*30min^-1",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"hour_and_minute",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"literspermilligrampermeter",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"lmgc-1m-1",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"meterspergram",2,2,2,0,0,0,1,"EDI DataOne",2,2,2,3
"mgha-1",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"microliter",2,2,2,0,0,0,1,"EDI DataOne",2,2,2,3
"microseimen",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"milligramspercubicmeterperday",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"ounceperacre",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"ug chl-a/g",1,2,2,0,0,0,1,"EDI DataOne",2,1,2,3
"1",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"10^9 copies/g",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"age",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"b-1,4-glucosidase activity in nmoles of substrate converted per hour per gram sample dry weight",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"calendarday",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"cellobiohydrolase activity in nmoles of substrate converted per hour per gram sample dry weight",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"cells/ml",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"centimeterperminute",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"centimetersquaredpergram",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"cm^2pergram",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"countperlongline",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"cubiccentimeterspergram",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"dayofyear",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"dd.dd",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"deg-min.dm",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"delta",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"disintegrationsperminuteperliter",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"dps/kg",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"g cm-3",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"gh2o/100gsoil",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"gigagram",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"gigagramperyear",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"gramnoduleperhr",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"grampermeterperday",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"gramspermegapascalpersecondpermeter",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"gramspermole",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"gramspersquaremeterpermonth",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"id #",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"individuals/ha",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"inversemeters",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"kg/sq m.",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"kgm-1s-2",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"kph",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"kwattspermetersquared",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"leafnumberpershortshoot",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"literspermetermilligram",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"lmg-1m-1",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"m2/s",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"m3m-3",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"mg/cm^2",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"microequivalentperliter",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"microgrampersquaremeterperday",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"microgrampertensquarecentimeterperburiallength",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"microgramsperliterperhour",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"micromolepersquarecentimeter",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"milligramperdeciliter",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"milligramspergramperlitter",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"milligramspershortshootperday",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"mm2/year",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"mo",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"moles",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"nag: b-1,4-n-acetylglucosaminidase nmoles of substrate converted per hour per gram sample dry weight",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"nanomolesperhourpergram",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"nanomolspergrampersecond",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"nominalhalfhour",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"numbertrees/m2",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"pci/kg",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"pci/pci",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"peroxidase activity in umoles of substrate converted per hour per gram sample dry weight",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"precent",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"shortshootpersquaremeter",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"squarecentimeterspershortshootperday",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"thousands per acre",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"tonnesperacre",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"tonsperacrefeet",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"tonsperday",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"ug/l",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"ugnh4-n/gsoil",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"um m-2",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"umol n/g",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"usec",1,1,2,0,0,0,1,"EDI DataOne",2,1,1,3
"volts",1,1,1,0,0,0,2,"EDI DataOne",2,1,1,3
"millimetersofmercury",1,1,1,1,1,1,0,"EDI NEON",2,2,2,2
"0.2wattpermetersquaredpermillivolt",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"1",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"angstrom",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"atms",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"bits/cm3",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"centimetercubedpergram*100",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"centimetersquaredpersecond",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"cm2/cm2",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"co2-c/gsoilc",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"countpermeter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"counts and percentages",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"cubickilometers",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"cubicmeterpersquaremeter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"datetime",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"dec. degr.",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"decimaldegreesnorthofequator",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"decimaldegreeswestofprimemeridian",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"degeee",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"degreesfromhorzontal",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"degreesfromtruenorth",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"degreeslatitude",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"degreeslongitude",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"del18o",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"delta14c",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"disintegrations per minute per gram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"disintegrationsperminutepergram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"dnbrscaledby1000",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"einsteinpermetersquaredperday",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"feet.inches",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"formazin nephelometric units",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"g*(m^-2*s^-1",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"g*cm^-3",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"g/m2/y",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gc/m2soil",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gdrysoil/m3soil",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gh2o/gdrysoil",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gm/cm3",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gm/m2",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gn/m2soil",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gramperplant",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"grams per meter squared per second",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gramsper2by2inchby25centimetersdeep",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gramspergramsperday",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gramsperhetare",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gramsperonequartermetersquared",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"gramspersecond",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"hr",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"julian day",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"kg/ha",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"kilogramperhourperperson",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"kilohertz",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"kilojoulepergram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"kilopascals",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"kilowattsperhourpermetersquare",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"langley",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"literpermilligramcarbonpermeter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"luminperfootsquared",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"m3ha-1",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"m3m-2",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"megajoulespersquaremeter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"meq/l",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"meq/l",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"metercubedperhundredmeters",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"meters per day",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"metersabovesealevel",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"metersquaredpersecondcubed",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"meterssquared per hectar",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mg chl-a/kg soil",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mg/(m2*day",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mg/m2/d",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mg/m2/h",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgbsaproteinprecipitatedpergleafdrymass",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgc/gdrysoil/day",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgc/gsoilc/day",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgc/m2",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgco2/sec/groot",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgco2/sec/m2",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgcpergleafdrymass",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgm-3",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgn/m2/h",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgnm2/h",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mgnpergleafdrymass",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microbecquerelpergram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microe/m2/s",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microgc/cm2/hr",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microgc/gafdm/hr",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microgram of carbon per squarecentimeters per hour",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microgramspercentimetercubed",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microgramspershortshoot",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microgramspersquaremeter per second",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"micromole per second",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"micromolesco2pergramnoduleperhour",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"micromolesnpergramnoduleperhour",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microsiemen",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"microsimmens",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"miligramsperkilogram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milimeter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milivoltspercentimeter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"millgramsperkilogram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milliequivalentpergram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milligramperkilogrampermonth",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milligrams per meter squared per second",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milligramsnitrogenperliter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milligramspercentimetersquared",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milligramspergram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milligramspergrams",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"milligramsperhour",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"millimeterpernumber",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"millimolesperliter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"millioncubicmeters",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"min",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"ml",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mls",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"mm/min",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"molco2m-2s-1",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"ms-1",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"msec-1",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"nanogram of carbon per squarecentimeters per hour",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"nanogram of nitrogen per squarecentimeters per hour",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"nanomolepermolepersecond",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"nanomolesperminute",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"nh4-n/gsoil",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"nm leu/day",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"no data",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"number/liter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"numberperacre",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"numberpermetersquaredperday",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"numberperyear",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"picogramcarbon",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"picomolespergram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"plants m-2",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"platinumcobaltunit",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"poreareaperlaminaarea",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"ppm/sec/groot",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"ppm/sec/m3",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"shelledbushelsperacre",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"species denisty/total density",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"squaremeterspergram",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"standardcubicfoot",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"thermalsensitivity",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"thousandboardfootperacre",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"ug chl-a/kg soil",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"ugchlorophyll-a/liter",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolmol-1",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-1",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-10",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-11",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-12",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-2",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-3",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-4",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-5",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-6",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-7",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-8",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"umolphotonsm-2s-9",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"vol",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"voltsecond",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"water year",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"water year",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"years",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"yyyy-mm-dd",1,1,1,0,0,0,1,"EDI DataOne",2,1,1,2
"degreecelcius",1,196,968,0,0,0,0,"EDI",1,1,196,968
"microsiemens",4,79,629,0,0,0,0,"EDI",1,4,79,629
"cubiccentimeterspercubiccentimeter",0,0,0,1,1,400,0,"NEON",1,1,1,400
"gramsperhectare",2,19,388,0,0,0,0,"EDI",1,2,19,388
